Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
ethiopia-coffee-grid,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1142/8120/products/4_30b7d79e-c360-4e38-b3a8-123ae2d478eb.jpg?v=1643049532,3,,,,,,,,,,,,,,,,,,,,,,
ethiopia-coffee-grid,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1142/8120/products/5_bc842cba-4e68-4dfc-990a-338f749a6cfc.jpg?v=1643049532,4,,,,,,,,,,,,,,,,,,,,,,
cold-brew-coffee-beans,Cold Brew Coffee Beans,"<p>There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humour, or randomised words which don't look even slightly believable.<br></p>
[short_description]
<p>There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humour, or randomised words which don't look even slightly believable.</p>
[/short_description] [short_specification]
<h5>Specifications</h5>
<ul>
<li>Intel Core i7 Processor</li>
<li>Zeon Z 170 Pro Motherboad</li>
<li>16 GB RAM</li>
</ul>
[/short_specification] [product_description]
<p>Contrary to popular belief, Lorem Ipsum is not simply random text. It has roots in a piece of classical Latin literature from 45 BC, making it over 2000 years old. Richard McClintock, a Latin professor at Hampden-Sydney College in Virginia, looked up one of the more obscure Latin words, consectetur, from a Lorem Ipsum passage, and going through the cites of the word in classical literature, discovered the undoubtable source. Lorem Ipsum comes from sections 1.10.32 and 1.10.33 of ""de Finibus Bonorum et Malorum"" (The Extremes of Good and Evil) by Cicero, written in 45 BC. This book is a treatise on the theory of ethics, very popular during the Renaissance. The first line of Lorem Ipsum, ""Lorem ipsum dolor sit amet.."", comes from a line in section 1.10.32.</p>
<p>The standard chunk of Lorem Ipsum used since the 1500s is reproduced below for those interested. Sections 1.10.32 and 1.10.33 from ""de Finibus Bonorum et Malorum"" by Cicero are also reproduced in their exact original form, accompanied by English versions from the 1914 translation by H. Rackham.</p>
[/product_description]",coffee,,,"glass, magenta, ml, orange, partex, pink, purple, violet, wood, xl, xs",true,Title,Default Title,,,,,"",0.0,shopify,11,deny,manual,80.00,100.00,true,true,"",https://cdn.shopify.com/s/files/1/1142/8120/products/7_3ea1851b-ae18-452a-81bd-27867a9959b7.jpg?v=1643049141,1,,false,,,,,,,,,,,,,,,,,kg,,,active
cold-brew-coffee-beans,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1142/8120/products/2_f32ff9b4-28eb-4e2e-95ce-bd8bbce10c2b.jpg?v=1643049141,2,,,,,,,,,,,,,,,,,,,,,,
cold-brew-coffee-beans,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1142/8120/products/3_d226c417-e535-4fc0-804b-900bc7cdec8c.jpg?v=1643049141,3,,,,,,,,,,,,,,,,,,,,,,
cold-brew-coffee-beans,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1142/8120/products/4_6bad62b9-2a68-4e10-9892-b762bd24d21d.jpg?v=1643049141,4,,,,,,,,,,,,,,,,,,,,,,
columbia-black-coffee,Columbia Black Coffee,"<p><span>[countdown]2022/04/15[/countdown]</span></p>
<p>There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humour, or randomised words which don't look even slightly believable.</p>
[short_description]
<p>There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humour, or randomised words which don't look even slightly believable.</p>
[/short_description] [short_specification]
<h5>Specifications</h5>
<ul>
<li>Intel Core i7 Processor</li>
<li>Zeon Z 170 Pro Motherboad</li>
<li>16 GB RAM</li>
</ul>
[/short_specification] [product_description]
<p>Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo. Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet, consectetur, adipisci velit, sed quia non numquam eius modi tempora incidunt ut labore et dolore magnam aliquam quaerat voluptatem. Ut enim ad minima veniam, quis nostrum exercitationem ullam corporis suscipit laboriosam, nisi ut aliquid ex ea commodi consequatur? Quis autem vel eum iure reprehenderit qui in ea voluptate velit esse quam nihil molestiae consequatur, vel illum qui dolorem eum fugiat quo voluptas nulla pariatur?</p>
<p>To take a trivial example, which of us ever undertakes laborious physical exercise, except to obtain some advantage from it? But who has any right to find fault with a man who chooses to enjoy a pleasure that has no annoying consequences, or one who avoids a pain that produces no resultant pleasure?</p>
[/product_description]",otobi,,assorted,"gray, magenta, orange, pink, purple, violet",true,Title,Default Title,,,,,"",0.0,shopify,9,deny,manual,150.00,,true,true,"",https://cdn.shopify.com/s/files/1/1142/8120/products/5_6e608c98-e0c6-4a49-b9b7-842e72b9348b.jpg?v=1643048451,1,,false,,,,,,,,,,,,,,,,,kg,,,active
columbia-black-coffee,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1142/8120/products/2_4c04f369-bcd6-458c-95c2-ed6719c787fd.jpg?v=1643048451,2,,,,,,,,,,,,,,,,,,,,,,
columbia-black-coffee,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1142/8120/products/3_34ca47b5-27d5-445e-8da6-61bc7aae709e.jpg?v=1643048451,3,,,,,,,,,,,,,,,,,,,,,,
columbia-black-coffee,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1142/8120/products/4_4a7336b4-8349-4329-b65b-5237906788c2.jpg?v=1643048451,4,,,,,,,,,,,,,,,,,,,,,,
vicarages-coffee-beans,Vicarages Coffee Beans,"<p>There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humour, or randomised words which don't look even slightly believable.</p>
[short_description]
<p>There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humour, or randomised words which don't look even slightly believable.</p>
[/short_description] [short_specification]
<h5>Specifications</h5>
<ul>
<li>Intel Core i7 Processor</li>
<li>Zeon Z 170 Pro Motherboad</li>
<li>16 GB RAM</li>
</ul>
[/short_specification] [product_description]
<p>Contrary to popular belief, Lorem Ipsum is not simply random text. It has roots in a piece of classical Latin literature from 45 BC, making it over 2000 years old. Richard McClintock, a Latin professor at Hampden-Sydney College in Virginia, looked up one of the more obscure Latin words, consectetur, from a Lorem Ipsum passage, and going through the cites of the word in classical literature, discovered the undoubtable source. Lorem Ipsum comes from sections 1.10.32 and 1.10.33 of ""de Finibus Bonorum et Malorum"" (The Extremes of Good and Evil) by Cicero, written in 45 BC. This book is a treatise on the theory of ethics, very popular during the Renaissance. The first line of Lorem Ipsum, ""Lorem ipsum dolor sit amet.."", comes from a line in section 1.10.32.</p>
<p>The standard chunk of Lorem Ipsum used since the 1500s is reproduced below for those interested. Sections 1.10.32 and 1.10.33 from ""de Finibus Bonorum et Malorum"" by Cicero are also reproduced in their exact original form, accompanied by English versions from the 1914 translation by H. Rackham.</p>
[/product_description]",coffee,,coffee,"glass, magenta, ml, orange, partex, pink, purple, violet, wood, xl, xs",true,Title,Default Title,,,,,"",0.0,shopify,10,deny,manual,100.00,100.00,true,true,"",https://cdn.shopify.com/s/files/1/1142/8120/products/1.jpg?v=1642619650,1,,false,,,,,,,,,,,,,,,,,kg,,,active
vicarages-coffee-beans,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1142/8120/products/2.jpg?v=1642619651,2,,,,,,,,,,,,,,,,,,,,,,
vicarages-coffee-beans,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1142/8120/products/3.jpg?v=1642619651,3,,,,,,,,,,,,,,,,,,,,,,
vicarages-coffee-beans,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1142/8120/products/4.jpg?v=1642619651,4,,,,,,,,,,,,,,,,,,,,,,
vicarages-coffee-beans,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1142/8120/products/5.jpg?v=1642619651,5,,,,,,,,,,,,,,,,,,,,,,
brazil-coffee-greed,Brazil Coffee Greed,"<p>There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humour, or randomised words which don't look even slightly believable.</p>
<p>[affiliate_link]https://affiliate-program.amazon.com[/affiliate_link]</p>
[short_description]
<p>There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humour, or randomised words which don't look even slightly believable.</p>
[/short_description] [short_specification]
<h5>Specifications</h5>
<ul>
<li>Intel Core i7 Processor</li>
<li>Zeon Z 170 Pro Motherboad</li>
<li>16 GB RAM</li>
</ul>
[/short_specification] [product_description]
<p>Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo. Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet, consectetur, adipisci velit, sed quia non numquam eius modi tempora incidunt ut labore et dolore magnam aliquam quaerat voluptatem. Ut enim ad minima veniam, quis nostrum exercitationem ullam corporis suscipit laboriosam, nisi ut aliquid ex ea commodi consequatur? Quis autem vel eum iure reprehenderit qui in ea voluptate velit esse quam nihil molestiae consequatur, vel illum qui dolorem eum fugiat quo voluptas nulla pariatur?</p>
<p>To take a trivial example, which of us ever undertakes laborious physical exercise, except to obtain some advantage from it? But who has any right to find fault with a man who chooses to enjoy a pleasure that has no annoying consequences, or one who avoids a pain that produces no resultant pleasure?</p>
[/product_description]",coffee,,,"black, brown, cyan, glass, gold, gray, L, M, steel, wood, X",true,Title,Default Title,,,,,11253201,0.0,shopify,11,deny,manual,80.00,,true,true,UPC,https://cdn.shopify.com/s/files/1/1142/8120/products/2_2c843e66-cd3a-4e49-955a-ee3b6a4db447.jpg?v=1643048215,1,,false,,,,,,,,,,,,,,,,,kg,,,active
brazil-coffee-greed,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1142/8120/products/3_fb186f28-6336-44db-970e-d66eb76bad88.jpg?v=1643048215,2,,,,,,,,,,,,,,,,,,,,,,
brazil-coffee-greed,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1142/8120/products/4_642803b1-adba-4c97-8525-d131fdf5cc54.jpg?v=1643048215,3,,,,,,,,,,,,,,,,,,,,,,
brazil-coffee-greed,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1142/8120/products/5_788d6784-2ce5-447f-acbf-8471d8122886.jpg?v=1643048215,4,,,,,,,,,,,,,,,,,,,,,,
latte-macchiato-coffee,Latte Macchiato Coffee,"<p>There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humor, or randomized words which don't look even slightly believable.</p>
[short_description]
<p>There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humor, or randomized words which don't look even slightly believable.</p>
[/short_description] [short_specification]
<h5>Specifications</h5>
<ul>
<li>Intel Core i7 Processor</li>
<li>Zeon Z 170 Pro Motherboad</li>
<li>16 GB RAM</li>
</ul>
[/short_specification] [product_description]
<p>Contrary to popular belief, Lorem Ipsum is not simply random text. It has roots in a piece of classical Latin literature from 45 BC, making it over 2000 years old. Richard McClintock, a Latin professor at Hampden-Sydney College in Virginia, looked up one of the more obscure Latin words, consectetur, from a Lorem Ipsum passage, and going through the cites of the word in classical literature, discovered the undoubtable source. Lorem Ipsum comes from sections 1.10.32 and 1.10.33 of ""de Finibus Bonorum et Malorum"" (The Extremes of Good and Evil) by Cicero, written in 45 BC. This book is a treatise on the theory of ethics, very popular during the Renaissance. The first line of Lorem Ipsum, ""Lorem ipsum dolor sit amet.."", comes from a line in section 1.10.32.</p>
<p>The standard chunk of Lorem Ipsum used since the 1500s is reproduced below for those interested. Sections 1.10.32 and 1.10.33 from ""de Finibus Bonorum et Malorum"" by Cicero are also reproduced in their exact original form, accompanied by English versions from the 1914 translation by H. Rackham.</p>
[/product_description]",coffee,,,"black, brown, cyan, glass, gold, gray, L, M, magenta, ml, partex, steel, wood, X, xl, xs, yellow",true,Title,Default Title,,,,,"",0.0,,-1,deny,manual,130.00,150.00,true,true,"",https://cdn.shopify.com/s/files/1/1142/8120/products/6_73f173d2-4226-4d3f-aaf8-3c44a7d8dabd.jpg?v=1643048677,1,,false,,,,,,,,,,,,,,,,,kg,,,active
latte-macchiato-coffee,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1142/8120/products/4_f6a5d2e3-ba7a-4856-a198-fa6fc785c131.jpg?v=1643048677,2,,,,,,,,,,,,,,,,,,,,,,
latte-macchiato-coffee,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1142/8120/products/5_a6f16232-3639-46bb-a92f-3a28c61aea1a.jpg?v=1643048677,3,,,,,,,,,,,,,,,,,,,,,,
latte-macchiato-coffee,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1142/8120/products/7_a55b49c7-8b22-462f-811d-008039a2b80d.jpg?v=1643048612,4,,,,,,,,,,,,,,,,,,,,,,
carry-bag-of-leather,Virgin Coffee Greed,"<p>There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humour, or randomised words which don't look even slightly believable.</p>
[short_description]
<p>There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humour, or randomised words which don't look even slightly believable.</p>
[/short_description] [short_specification]
<h5>Specifications</h5>
<ul>
<li>Intel Core i7 Processor</li>
<li>Zeon Z 170 Pro Motherboad</li>
<li>16 GB RAM</li>
</ul>
[/short_specification] [product_description]
<p>Contrary to popular belief, Lorem Ipsum is not simply random text. It has roots in a piece of classical Latin literature from 45 BC, making it over 2000 years old. Richard McClintock, a Latin professor at Hampden-Sydney College in Virginia, looked up one of the more obscure Latin words, consectetur, from a Lorem Ipsum passage, and going through the cites of the word in classical literature, discovered the undoubtable source. Lorem Ipsum comes from sections 1.10.32 and 1.10.33 of ""de Finibus Bonorum et Malorum"" (The Extremes of Good and Evil) by Cicero, written in 45 BC. This book is a treatise on the theory of ethics, very popular during the Renaissance. The first line of Lorem Ipsum, ""Lorem ipsum dolor sit amet.."", comes from a line in section 1.10.32.</p>
<p>The standard chunk of Lorem Ipsum used since the 1500s is reproduced below for those interested. Sections 1.10.32 and 1.10.33 from ""de Finibus Bonorum et Malorum"" by Cicero are also reproduced in their exact original form, accompanied by English versions from the 1914 translation by H. Rackham.</p>
[/product_description]",coffee,,coffee,"glass, magenta, ml, orange, partex, pink, purple, violet, wood, xl, xs",true,Title,Default Title,,,,,"",0.0,shopify,10,deny,manual,80.00,100.00,true,true,"",https://cdn.shopify.com/s/files/1/1142/8120/products/4_ac9bb74e-89ca-48fb-bbc0-df24edcda958.jpg?v=1643047808,1,,false,,,,,,,,,,,,,,,,,kg,,,active
carry-bag-of-leather,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1142/8120/products/3_5c04ade2-57de-417f-9153-37e78ffaec40.jpg?v=1643047808,2,,,,,,,,,,,,,,,,,,,,,,
carry-bag-of-leather,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1142/8120/products/5_fb784f1d-91a5-469c-ac45-28391d3aea2d.jpg?v=1643047806,3,,,,,,,,,,,,,,,,,,,,,,
carry-bag-of-leather,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1142/8120/products/6.jpg?v=1643047806,4,,,,,,,,,,,,,,,,,,,,,,
carry-bag-of-leather,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1142/8120/products/7.jpg?v=1643047807,5,,,,,,,,,,,,,,,,,,,,,,
the-acacia-hills-blend,The Acacia Hills Blend,"<p>There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humor, or randomized words which don't look even slightly believable.</p>
[short_description]
<p>There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humor, or randomized words which don't look even slightly believable.</p>
[/short_description] [short_specification]
<h5>Specifications</h5>
<ul>
<li>Intel Core i7 Processor</li>
<li>Zeon Z 170 Pro Motherboad</li>
<li>16 GB RAM</li>
</ul>
[/short_specification] [product_description]
<p>Contrary to popular belief, Lorem Ipsum is not simply random text. It has roots in a piece of classical Latin literature from 45 BC, making it over 2000 years old. Richard McClintock, a Latin professor at Hampden-Sydney College in Virginia, looked up one of the more obscure Latin words, consectetur, from a Lorem Ipsum passage, and going through the cites of the word in classical literature, discovered the undoubtable source. Lorem Ipsum comes from sections 1.10.32 and 1.10.33 of ""de Finibus Bonorum et Malorum"" (The Extremes of Good and Evil) by Cicero, written in 45 BC. This book is a treatise on the theory of ethics, very popular during the Renaissance. The first line of Lorem Ipsum, ""Lorem ipsum dolor sit amet.."", comes from a line in section 1.10.32.</p>
<p>The standard chunk of Lorem Ipsum used since the 1500s is reproduced below for those interested. Sections 1.10.32 and 1.10.33 from ""de Finibus Bonorum et Malorum"" by Cicero are also reproduced in their exact original form, accompanied by English versions from the 1914 translation by H. Rackham.</p>
[/product_description]",coffee,,,"black, brown, cyan, glass, gold, gray, L, M, magenta, ml, partex, steel, wood, X, xl, xs",true,Title,Default Title,,,,,"",0.0,,0,deny,manual,130.00,150.00,true,true,"",https://cdn.shopify.com/s/files/1/1142/8120/products/4_5ff6a435-00bf-4356-9d31-76b002756a0c.jpg?v=1643049664,1,,false,,,,,,,,,,,,,,,,,kg,,,active
the-acacia-hills-blend,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1142/8120/products/5_55a2fecd-e0a5-4b43-9745-8676c64fe818.jpg?v=1643049665,2,,,,,,,,,,,,,,,,,,,,,,
the-acacia-hills-blend,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1142/8120/products/6_1f753bea-aec9-40be-8960-fa9333e5fbe2.jpg?v=1643049665,3,,,,,,,,,,,,,,,,,,,,,,
the-acacia-hills-blend,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1142/8120/products/7_233e16da-f818-4ffe-b016-36b8eaf86d6c.jpg?v=1643049665,4,,,,,,,,,,,,,,,,,,,,,,
